Country or Area,Country or Area Code,Age Group,Indicator,Date - Year,Value - Mean age at childbearing (MAC),Series,DataType,Data Source Type,Survey Programme,Data Source Inventory ID,Data Source Name,Data Source Name (short),Data Source Start Year,Data Source End Year,Reference,Reference Year
Austria,40,[Total],MAC,1958.5,27.70663,"Register,Computed rate from DYB,DYB,436-135-12",Computed rate from DYB,Register,VR,436,Vital Registration,Register,1958,1958,Demographic Yearbook,1959
Austria,40,[Total],MAC,1959.5,27.59409,"Register,Computed rate from DYB,DYB,436-135-14",Computed rate from DYB,Register,VR,436,Vital Registration,Register,1959,1959,Demographic Yearbook,1961
Azerbaijan,31,[Total],MAC,1959,30.42108,NSO,Direct,Register,VR,433,Vital Registration,Register,1959,1959,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1962,30.39031,NSO,Direct,Register,VR,433,Vital Registration,Register,1962,1962,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1963,30.21841,NSO,Direct,Register,VR,433,Vital Registration,Register,1963,1963,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1964,30.14665,NSO,Direct,Register,VR,433,Vital Registration,Register,1964,1964,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1965,30.16531,NSO,Direct,Register,VR,433,Vital Registration,Register,1965,1965,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1966,30.09842,NSO,Direct,Register,VR,433,Vital Registration,Register,1966,1966,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1967,29.86795,NSO,Direct,Register,VR,433,Vital Registration,Register,1967,1967,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1968,29.81067,NSO,Direct,Register,VR,433,Vital Registration,Register,1968,1968,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1969,29.80661,NSO,Direct,Register,VR,433,Vital Registration,Register,1969,1969,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1970,29.71293,NSO,Direct,Register,VR,433,Vital Registration,Register,1970,1970,United Nations Population Division,
Azerbaijan,31,[Total],MAC,1971.001369863,29.55218,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1971,1971,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1972.002739726,29.49547,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1972,1972,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1973.002739726,29.46297,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1973,1973,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1974.001369863,29.3286,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1974,1974,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1975.001369863,29.18482,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1975,1975,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1976.002739726,29.1639,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1976,1976,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1977.002739726,29.08249,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1977,1977,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1978.001369863,28.92435,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1978,1978,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1979.001369863,28.84328,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1979,1979,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1980.002739726,28.60394,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1980,1980,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1981.002739726,28.36704,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1981,1981,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1982.001369863,28.22657,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1982,1982,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1984.002739726,27.96948,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1984,1984,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1985.002739726,27.76042,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1985,1985,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1986.001369863,27.61667,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1986,1986,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1987.001369863,27.51964,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1987,1987,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1988.502739726,27.15917,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1988,1988,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1989.203979492,26.94654,"2006 DHS,Birth Histories (Extrapolated),DHS,179-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,179,Azerbaijan 2006 Demographic and Health Survey,2006 DHS,2006,2006,DHS Statcompiler,2012
Azerbaijan,31,[Total],MAC,1989.501369863,27.07803,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1989,1989,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1990.501369863,26.96313,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1990,1990,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1991.501369863,26.73529,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1991,1991,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1992.502739726,26.43123,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1992,1992,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1993.501369863,26.2277,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1993,1993,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1994.203979492,25.88665,"2006 DHS,Birth Histories (Extrapolated),DHS,179-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,179,Azerbaijan 2006 Demographic and Health Survey,2006 DHS,2006,2006,DHS Statcompiler,2012
Azerbaijan,31,[Total],MAC,1994.501369863,26.24438,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1994,1994,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1995.501369863,26.28705,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1995,1995,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1996.502739726,26.36697,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1996,1996,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1997.501369863,26.1376,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1997,1997,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1998.501369863,26.27706,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1998,1998,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1999.203979492,25.54401,"2006 DHS,Birth Histories (Extrapolated),DHS,179-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,179,Azerbaijan 2006 Demographic and Health Survey,2006 DHS,2006,2006,DHS Statcompiler,2012
Azerbaijan,31,[Total],MAC,1999.501369863,26.35893,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,1999,1999,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,1999.910034180,26.09903,"2001 RHS,Direct,DHS,1670-16-39167",Direct,Survey,RHS,1670,Azerbaijan 2001 Reproductive Health Survey,2001 RHS,2001,2001,DHS Statcompiler,2012
Azerbaijan,31,[Total],MAC,2000.502739726,26.44876,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2000,2000,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2001.501369863,26.42419,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2001,2001,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2002.501369863,26.35347,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2002,2002,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2003.501369863,26.18803,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2003,2003,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2004.203979492,25.81202,"2006 DHS,Direct,DHS,179-16-39167",Direct,Survey,DHS,179,Azerbaijan 2006 Demographic and Health Survey,2006 DHS,2006,2006,DHS Statcompiler,2012
Azerbaijan,31,[Total],MAC,2004.502739726,26.28744,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2004,2004,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2005.203979492,26.09259,"2006 DHS,Direct,DHS,179-16-39167",Direct,Survey,DHS,179,Azerbaijan 2006 Demographic and Health Survey,2006 DHS,2006,2006,DHS Statcompiler,2012
Azerbaijan,31,[Total],MAC,2005.501369863,26.17811,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2005,2005,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2006.501369863,26.09704,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2006,2006,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2007.501369863,26.02391,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2007,2007,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2008.502739726,26.04097,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2008,2008,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2009.501369863,26.0188,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2009,2009,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2010.209960938,25.96247,2011 DHS-NS,Direct,Survey,DHS-NS,7530,Azerbaijan 2011 Demographic and Health Survey,2011 DHS-NS,2011,2011,"2011 DHS-NS Report, Table 5.1, total population",
Azerbaijan,31,[Total],MAC,2010.501369863,25.75425,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2010,2010,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2011.501369863,25.79483,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2011,2011,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2012.502739726,25.73309,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2012,2012,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2013.501369863,26.08271,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2013,2013,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2014.501369863,25.75368,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2014,2014,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2015.501369863,25.72212,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2015,2015,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2016.502739726,25.54028,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2016,2016,Demography and Social Statistics (web),2019
Azerbaijan,31,[Total],MAC,2017.501369863,25.60598,NSO_2019,Direct,Register,VR,433,Vital Registration,Register,2017,2017,Demography and Social Statistics (web),2019
Bahamas,44,[Total],MAC,2010.5,29.22742,"2010 Census,Computed rate from DYB,DYB,4734-135-39441",Computed rate from DYB,Census,Census,4734,Bahamas 2010 Census,2010 Census,2010,2010,Demographic Yearbook,2013
Bahrain,48,[Total],MAC,1971.5,25.58582,"1971 Census,Recent births,Report",Recent births,Census,Census,1525,Bahrain 1971 Census,1971 Census,1971,1971,"Bahrain Ministry of Finance and National Economy  1972, cited in The Population Situation in the ECWA Region: Bahrain, (Beirut:  United Nations Economic Commission for Western Asia, 1979), table 2.3, p. 9.",1979
Bahrain,48,[Total],MAC,1977.5,29.88696,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1977,1977,Bahrain NSO,
Bahrain,48,[Total],MAC,1978.5,30.06551,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1978,1978,Bahrain NSO,
Bahrain,48,[Total],MAC,1979.5,29.97487,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1979,1979,Bahrain NSO,
Bahrain,48,[Total],MAC,1980.5,30.15497,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1980,1980,Bahrain NSO,
Bahrain,48,[Total],MAC,1981.5,30.2999,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1981,1981,Bahrain NSO,
Bahrain,48,[Total],MAC,1982.5,30.27795,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1982,1982,Bahrain NSO,
Bahrain,48,[Total],MAC,1983.5,30.21033,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1983,1983,Bahrain NSO,
Bahrain,48,[Total],MAC,1984.5,29.99668,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1984,1984,Bahrain NSO,
Bahrain,48,[Total],MAC,1985.5,29.81991,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1985,1985,Bahrain NSO,
Bahrain,48,[Total],MAC,1986.5,30.14782,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1986,1986,Bahrain NSO,
Bahrain,48,[Total],MAC,1987.5,30.02111,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1987,1987,Bahrain NSO,
Bahrain,48,[Total],MAC,1988.5,30.17046,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1988,1988,Bahrain NSO,
Bahrain,48,[Total],MAC,1989,31.55131,"1989 CHS,Birth Histories data,Report",Birth histories,Survey,GFHS,145,Bahrain 1989 Child Health Survey,1989 CHS,1989,1989,"Ministry of Health, State of Bahrain,  Bahrain Child Health Survey 1989, Final Report  (Bahrain: Ministry of Health,  1992),  table 13.11, p. 196.",1992
Bahrain,48,[Total],MAC,1989.5,30.07384,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1989,1989,Bahrain NSO,
Bahrain,48,[Total],MAC,1990.5,30.4506,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1990,1990,Bahrain NSO,
Bahrain,48,[Total],MAC,1991.5,30.46571,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1991,1991,Bahrain NSO,
Bahrain,48,[Total],MAC,1992.5,30.33029,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1992,1992,Bahrain NSO,
Bahrain,48,[Total],MAC,1993,30.92336,"1995 FHS,Birth Histories data,Report",Birth histories,Survey,GFHS,181,Bahrain 1995 Family Health Survey,1995 FHS,1995,1995,"Naseeb, Tawfeeq, and Samir Farid  2000  Bahrain Family Health Survey 1995:  Principal Report.  Manama:  Ministry of Health. P.119, table 8.17.",2000
Bahrain,48,[Total],MAC,1993.5,30.47471,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1993,1993,Bahrain NSO,
Bahrain,48,[Total],MAC,1994.5,30.52312,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1994,1994,Bahrain NSO,
Bahrain,48,[Total],MAC,1995.5,30.46812,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1995,1995,Bahrain NSO,
Bahrain,48,[Total],MAC,1996.5,30.20436,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1996,1996,Bahrain NSO,
Bahrain,48,[Total],MAC,1997.5,30.11246,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1997,1997,Bahrain NSO,
Bahrain,48,[Total],MAC,1997.501369863,30.66605,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,1997,1997,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,1998.5,30.0401,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1998,1998,Bahrain NSO,
Bahrain,48,[Total],MAC,1998.501369863,30.56755,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,1998,1998,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,1999.5,29.95863,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,1999,1999,Bahrain NSO,
Bahrain,48,[Total],MAC,1999.501369863,30.99882,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,1999,1999,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2000.5,30.39426,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2000,2000,Bahrain NSO,
Bahrain,48,[Total],MAC,2000.502739726,30.85337,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2000,2000,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2001.5,30.29276,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2001,2001,Bahrain NSO,
Bahrain,48,[Total],MAC,2001.501369863,30.30107,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2001,2001,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2002.5,30.32408,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2002,2002,Bahrain NSO,
Bahrain,48,[Total],MAC,2002.501369863,30.92679,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2002,2002,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2003.5,29.72999,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2003,2003,Bahrain NSO,
Bahrain,48,[Total],MAC,2003.501369863,30.33788,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2003,2003,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2004.5,29.66283,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2004,2004,Bahrain NSO,
Bahrain,48,[Total],MAC,2004.502739726,29.59135,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2004,2004,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2005.5,29.59839,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2005,2005,Bahrain NSO,
Bahrain,48,[Total],MAC,2005.501369863,29.5518,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2005,2005,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2006.5,29.82077,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2006,2006,Bahrain NSO,
Bahrain,48,[Total],MAC,2006.501369863,29.66473,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2006,2006,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2007.5,29.99372,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2007,2007,Bahrain NSO,
Bahrain,48,[Total],MAC,2007.501369863,29.66573,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2007,2007,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2008.5,29.90386,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2008,2008,Bahrain NSO,
Bahrain,48,[Total],MAC,2008.502739726,29.67206,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2008,2008,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2009.5,29.75905,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2009,2009,Bahrain NSO,
Bahrain,48,[Total],MAC,2009.501369863,29.75989,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2009,2009,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2010.5,29.70459,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2010,2010,Bahrain NSO,
Bahrain,48,[Total],MAC,2010.501369863,29.69944,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2010,2010,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2011.5,29.62664,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2011,2011,Bahrain NSO,
Bahrain,48,[Total],MAC,2011.501369863,29.62575,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2011,2011,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2012.5,29.4684,"Register,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,Register,VR,4412,Vital Registration,Register,2012,2012,Bahrain NSO,
Bahrain,48,[Total],MAC,2012.502739726,29.51102,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2012,2012,Bahrain Open Data Portal,2019
Bahrain,48,[Total],MAC,2013.501369863,29.44831,NSO_asfr_2019,Official estimates,Estimate,Estimate,2040,All sources of estimates,Estimates,2013,2013,Bahrain Open Data Portal,2019
Bangladesh,50,[Total],MAC,1955.5,26.89519,"Estimates,Official estimates,Report",Official estimates,Estimate,Estimate,2041,All sources of estimates,Estimates,1955,1955,"ESCAP (1981). Country Monograph Series Nop. 8: Pop. of Bangladesh. Table 51. Trends in age-specific rates, 1953-1976. p. 67.",1981
Bangladesh,50,[Total],MAC,1959.5,26.512,"Estimates,Official estimates,Report",Official estimates,Estimate,Estimate,2041,All sources of estimates,Estimates,1959,1959,"ESCAP (1981). Country Monograph Series Nop. 8: Pop. of Bangladesh. Table 51. Trends in age-specific rates, 1953-1976. p. 67.",1981
Bangladesh,50,[Total],MAC,1961,27.30711,"1961-1962 DSEP,Recent births,Report",Recent births,Survey,Survey,4572,Bangladesh 1961-1962 Demographic Survey of East Pakistan,1961-1962 DSEP,1961,1962,"Obaidullah, M. (1966). Demographic Survey in East Pakistan, 1961-1962. (Dacca, ISRT, 1966).",1966
Bangladesh,50,[Total],MAC,1961.5,27.4878,"1961-1962 DSEP,Recent births,Article",Recent births,Survey,Survey,4572,Bangladesh 1961-1962 Demographic Survey of East Pakistan,1961-1962 DSEP,1961,1962,"Sirageldin, I., D. Norris and M. Ahmad (1975). ""Fertility in Bangladesh: facts and fancies"". Population Studies, vol. 29, No. 1, March 1975, pp. 207-215.",1975
Bangladesh,50,[Total],MAC,1963.5,27.40898,"1962-1965 PGEE,Recent births,Report",Recent births,Survey,PGE,116,Bangladesh 1962-1965 Population Growth Estimation Experiment,1962-1965 PGEE,1962,1965,"Bangladesh Bureau of Statistics. Statistics Division, Ministry of Planning. (1994). Statistical Yearbook of Bangladesh. Aug. 1995. Table 2.2  (p. 36)",1995
Bangladesh,50,[Total],MAC,1964.5,26.91761,"1962-1965 PGEE,Recent births,Report",Recent births,Survey,PGE,116,Bangladesh 1962-1965 Population Growth Estimation Experiment,1962-1965 PGEE,1962,1965,"Bangladesh Bureau of Statistics. Statistics Division, Ministry of Planning. (1994). Statistical Yearbook of Bangladesh. Aug. 1995. Table 2.2  (p. 36)",1995
Bangladesh,50,[Total],MAC,1964.5,27.17492,"1962-1965 PGEE,Recent births,Article",Recent births,Survey,PGE,116,Bangladesh 1962-1965 Population Growth Estimation Experiment,1962-1965 PGEE,1962,1965,"Afzal, M. (1977). The Pakistan Development Review. Vol. XVI. Summer 1977. No. 2. pp. 192-207.",1977
Bangladesh,50,[Total],MAC,1965.5,26.98606,"1962-1965 PGEE,Recent births,Report",Recent births,Survey,PGE,116,Bangladesh 1962-1965 Population Growth Estimation Experiment,1962-1965 PGEE,1962,1965,"Bangladesh Bureau of Statistics. Statistics Division, Ministry of Planning. (1994). Statistical Yearbook of Bangladesh. Aug. 1995. Table 2.2  (p. 36)",1995
Bangladesh,50,[Total],MAC,1973.5,29.23449,"1974 RSFM,Recent births,Report,1",Recent births,Survey,Survey,810,Bangladesh 1974 Retrospective Survey of Fertility and Mortality,1974 RSFM,1974,1974,"National Research Council (U.S.). Committee on Population and Demography. Panel on Bangladesh (1981). Estimation of recent trends in fertility and mortality in Bangladesh. No. 5. Table 10, p. 35",1981
Bangladesh,50,[Total],MAC,1974,28.43352,"1974 RSFM,Recent births,Report,2",Recent births,Survey,Survey,810,Bangladesh 1974 Retrospective Survey of Fertility and Mortality,1974 RSFM,1974,1974,"Ministry of Overseas Development, London, and Ministry of Planning, Dacca. Report on the 1974 Bangladesh Retrospective Survey of fertility and Mortality (Dacca, Census Commission, Statistics Division, 1977).",1977
Bangladesh,50,[Total],MAC,1976.535766602,28.50809,"1993-1994 DHS,Birth Histories (Extrapolated),DHS,1814-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,1814,Bangladesh 1993-1994 Demographic and Health Survey,1993-1994 DHS,1993,1994,DHS Statcompiler,2012
Bangladesh,50,[Total],MAC,1978.5,29.70339,"1978 DPS,Recent births,Report",Recent births,Survey,Survey,4574,Bangladesh 1978 Demographic Pilot Survey,1978 DPS,1978,1978,"Bangladesh Bureau of Statistics. Statistics Division, Ministry of Planning. (1994). Statistical Yearbook of Bangladesh. Aug. 1995. Table 2.2  (p. 36)",1995
Bangladesh,50,[Total],MAC,1979.513916016,28.08453,"1996-1997 DHS,Birth Histories (Extrapolated),DHS,1815-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,1815,Bangladesh 1996-1997 Demographic and Health Survey,1996-1997 DHS,1996,1997,DHS Statcompiler,2012
Bangladesh,50,[Total],MAC,1980.5,28.70729,"1980 BLDS,Recent births,Report",Recent births,Survey,Survey,4575,Bangladesh 1980 Base line Demographic Survey,1980 BLDS,1980,1980,"Bangladesh Bureau of Statistics. Statistics Division, Ministry of Planning. (1994). Statistical Yearbook of Bangladesh. Aug. 1995. Table 2.2  (p. 36)",1995
Bangladesh,50,[Total],MAC,1981.5,27.98516,"SVRS,Computed rate from reported ASFR,Report",Computed rate from reported ASFR,SRS,SVRS,767,Bangladesh Sample Vital Registration System,SVRS,1980,,Bangladesh (1994). Statistical Yearbook of Bangladesh. Aug. 1995. Table 2.2 Age specific and total fertility rate per 1000 women in Bangladesh for selected years (p. 36),1995
Bangladesh,50,[Total],MAC,1981.535766602,28.50611,"1993-1994 DHS,Birth Histories (Extrapolated),DHS,1814-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,1814,Bangladesh 1993-1994 Demographic and Health Survey,1993-1994 DHS,1993,1994,DHS Statcompiler,2012
